moves,comment,good
1. c4,"Personally
I think that this game was not only the most beautiful in the tournament, but
also the most remembered by the present generation of chessplayers. It can be
compared with the great game won by Anderssen against Kieseritsky more than
thirty years ago"" (Minchin)",False
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5,"With 5...c5 followed by 6... Nc6 Black could have kept the center under
control without compromise himself. (Tartakower)",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7,"(?) ""Blackburne makes a strategical mistake, allowing his
opponent to take his darksquared Bishop, very important in this line of play"".
(Averbach) Let's read how Blackburne justifies himself: ""I played the move in
the text, instead of the usual c7-c5 with the intention of having more power
on the ""c"" file, in case White decided to take my Bishop pair""",False
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6,"""This waste of time gives me the opportunity to
prepare tha attack which will follow."" (Zukertort)",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4,"""Improving the pawn position and trying to open the c-file"" (Averbach)
""Instead of releasing the pressure in the center, Black could have enhance it
with 14...e5"" (Tartakower).",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4 15. Bxc4 d5,"""Clearly to prevent e3-e4"". (Tartakower)",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4 15. Bxc4 d5 16. Bd3 Rfc8,"""I played this move
with the intention to bring the Knight to f8 via d7. I did not think yet about
the possibility to seize the file by doubling the Rooks."" (Blackburne) ""Mr.
Blackburne, I think, underestimated the power of the attack I was going to
deliver. It was safer to leave the Rook where it was before and to occupy the
open file with the other one."" (Zukertort)",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4 15. Bxc4 d5 16. Bd3 Rfc8 17. Rae1 Rc7 18. e4 Rac8,"""Without any precise aim, but with some hope for the future"". (Tartakower)",False
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4 15. Bxc4 d5 16. Bd3 Rfc8 17. Rae1 Rc7 18. e4 Rac8 19. e5 Ne8 20. f4 g6,"""Of course Black had to stop a further push of the ""f"" pawn.
However, since the move in the text weakens the position of the King without
compensation, I would suggest the alternative 20...f5"". (Zukertort)",True
1. c4 e6 2. e3 Nf6 3. Nf3 b6 4. Be2 Bb7 5. O-O d5 6. d4 Bd6 7. Nc3 O-O 8. b3 Nbd7 9. Bb2 Qe7 10. Nb5 Ne4 11. Nxd6 cxd6 12. Nd2 Ndf6 13. f3 Nxd2 14. Qxd2 dxc4 15. Bxc4 d5 16. Bd3 Rfc8 17. Rae1 Rc7 18. e4 Rac8 19. e5 Ne8 20. f4 g6 21. Re3,(!),True
