moves,comment,good
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4,(4... Nd4 used to be Rubinstein's pet line afterwards. ),False
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2,(9. Re1 Nd8 10. d4 c6 11. Bf1 Ne6 12. Bc1 is also played. ),True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6,"The mobility of this knight, which always aims to occupy f4, is the greatest obstacle for white.",True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6,(13... Nf4? 14. Nd4! exd4 15. Qxf4 dxc3 16. Rae1 intending Qe3 and f4 with a powerful attack is good for white. ),True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6,(14...Nf4 is still bad because of 15. Nd4 exd4 (Black cannot allow the White knight to occupy f5) 16. Qxf4 dxc3 ( or if 16... g5 17.Bxg5 hxg5 18. Qxg5+ Kh8 19. cxd4 Rfe8 20. Ra5 with attack.) 17. d4 is better for white. ),True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6 15. Bg3,(15. d4 was essential 15... Nf4 (Bad for black is 15... g5 16. Bg3 Nf4 17.Bxf4 gxf4 (17... exf4 18. e5!) 18. g3 Nh5 19. Qe2 with advantage to white.)16. dxe5 dxe5 17. Nd4 Rad8 18.Qe3 exd4 19. Qxf4 g5 20. Bxg5 white obtains advantageous attack.) ),True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6 15. Bg3 Nh5 16. d4 Nef4 17. Bxf4,"(17.Qe3 with the idea of Rad1, Rd2, Red1 might be better. )",True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6 15. Bg3 Nh5 16. d4 Nef4 17. Bxf4 Nxf4 18. g3 Ng6,The White's King side has been weakened and an attack with ...f5 is threatened.,False
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6 15. Bg3 Nh5 16. d4 Nef4 17. Bxf4 Nxf4 18. g3 Ng6 19. Qd3,intending to reply...f5 with ef and then Nf3-d2-e4 defending f2.,True
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 Bxc3 7. bxc3 d6 8. Bg5 Qe7 9. Qd2 Nd8 10. Bc4 Be6 11. Bb3 Bxb3 12. axb3 Ne6 13. Bh4 h6 14. Rfe1 a6 15. Bg3 Nh5 16. d4 Nef4 17. Bxf4 Nxf4 18. g3 Ng6 19. Qd3 Qe6 20. Nd2 f5 21. d5 Qd7 22. exf5 Rxf5 23. Ne4,The Knight has a good central outpost compensating Black's possession of the f-file but the weakness caused by g3 cramps White considerably.,True
