moves,comment,good
1. c4,E26: Nimzo-Indian: Saemisch: 5...c5 6 e3,False
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6,The knight intends Nb8-c6-a5-b3,True
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3,The black knight is well posted.,False
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4,Threatening mate: Qxh2,False
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5,This push gains space,False
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5 Rad8 21. Qf2,Plans exf6,True
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5 Rad8 21. Qf2 Nh5 22. Bxh6,Demolishes the pawn shield. The mate threat is Qxf7,True
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5 Rad8 21. Qf2 Nh5 22. Bxh6 Re7,White now must not overlook the idea gxh6,True
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5 Rad8 21. Qf2 Nh5 22. Bxh6 Re7 23. Nf5 Qxf2+ 24. Rfxf2,With the decisive threat Nxe7,True
1. c4 e6 2. Nc3 d5 3. d4 Bb4 4. e3 c5 5. a3 Bxc3+ 6. bxc3 Nf6 7. cxd5 exd5 8. f3 c4 9. Ne2 Nc6 10. g4 h6 11. Bg2 Na5 12. O-O Nb3 13. Ra2 O-O 14. Ng3 Bd7 15. Qe1 Re8 16. e4 dxe4 17. fxe4 Nxg4 18. Bf4 Qh4 19. h3 Nf6 20. e5 Rad8 21. Qf2 Nh5 22. Bxh6 Re7 23. Nf5 Qxf2+ 24. Rfxf2 Re6 25. Be3 Bc6 26. Bf1 f6 27. Bxc4 Bd5 28. Be2 fxe5 29. Bxh5 exd4 30. Bg5 Rd7 31. Rae2,Threatening Ne7,False
